,activity,start,end,type,user,travel_start,travel_end,case,cost
252,check if expense documents exist,28.03.17 16:53,28.03.17 18:45,Employee,BX590,09.03.17,18.03.17,1458,
253,upload travel expense documents,28.03.17 18:45,28.03.17 18:56,Employee,BX590,09.03.17,18.03.17,1458,
254,file travel expense report,28.03.17 18:56,28.03.17 19:02,Employee,BX590,09.03.17,18.03.17,1458,
255,confirm travel expense report,28.03.17 19:02,28.03.17 19:05,Employee,BX590,09.03.17,18.03.17,1458,
256,decide on travel expense approval,29.03.17 13:59,29.03.17 14:02,Manager,YS1169,09.03.17,18.03.17,1458,
257,send original documents to archive,14.04.17 13:53,14.04.17 14:04,Employee,BX590,09.03.17,18.03.17,1458,
258,calculate payments,22.05.17 09:28,22.05.17 10:05,Accounting,JK6642,09.03.17,18.03.17,1458,
259,pay expenses,06.05.17 10:07,06.05.17 10:16,Accounting,JK6642,09.03.17,18.03.17,1458,
260,file travel request,01.02.17 05:59,01.02.17 06:16,Employee,DG2973,07.02.17,17.02.17,1460,
261,check if travel request needs preliminary price inquiry,01.02.17 06:16,01.02.17 06:18,,,07.02.17,17.02.17,1460,
262,decide on approval requirements,01.02.17 06:18,01.02.17 06:18,,,07.02.17,17.02.17,1460,
263,forward request to approver,01.02.17 06:18,01.02.17 06:20,,,07.02.17,17.02.17,1460,
264,decide on request,01.02.17 13:01,01.02.17 13:05,Manager,OX4346,07.02.17,17.02.17,1460,
265,check if booking is necessary,01.04.17 13:29,01.04.17 13:34,Travel Department,JV9257,07.02.17,17.02.17,1460,
266,check if expense documents exist,20.02.17 05:59,20.02.17 06:54,Employee,DG2973,07.02.17,17.02.17,1460,
267,upload travel expense documents,20.02.17 06:54,20.02.17 07:06,Employee,DG2973,07.02.17,17.02.17,1460,
268,file travel expense report,20.02.17 07:06,20.02.17 07:24,Employee,DG2973,07.02.17,17.02.17,1460,
269,confirm travel expense report,20.02.17 07:24,20.02.17 07:27,Employee,DG2973,07.02.17,17.02.17,1460,
270,decide on travel expense approval,20.02.17 13:08,20.02.17 13:12,Manager,OX4346,07.02.17,17.02.17,1460,
271,send original documents to archive,03.06.17 05:59,03.06.17 06:14,Employee,DG2973,07.02.17,17.02.17,1460,
272,calculate payments,21.03.17 08:16,21.03.17 09:10,Accounting,GU1789,07.02.17,17.02.17,1460,
273,pay expenses,04.10.17 07:59,04.10.17 09:03,Accounting,GU1789,07.02.17,17.02.17,1460,
274,file travel request,01.02.17 05:59,01.02.17 06:20,Employee,YO3805,12.01.17,13.01.17,1461,
275,check if travel request needs preliminary price inquiry,01.02.17 06:20,01.02.17 06:21,,,12.01.17,13.01.17,1461,
276,decide on approval requirements,01.02.17 06:21,01.02.17 06:23,,,12.01.17,13.01.17,1461,
277,check if booking is necessary,01.04.17 09:13,01.04.17 09:19,Travel Department,JV9257,12.01.17,13.01.17,1461,
278,check if expense documents exist,19.01.17 20:15,19.01.17 21:25,Employee,YO3805,12.01.17,13.01.17,1461,
279,file travel expense report,19.01.17 21:25,19.01.17 21:32,Employee,YO3805,12.01.17,13.01.17,1461,
280,confirm travel expense report,19.01.17 21:32,19.01.17 21:32,Employee,YO3805,12.01.17,13.01.17,1461,
281,decide on travel expense approval,20.01.17 12:59,20.01.17 13:04,Manager,YS1169,12.01.17,13.01.17,1461,
282,send request for travel expense correction,20.01.17 13:04,20.01.17 13:06,,,12.01.17,13.01.17,1461,
283,correct travel expense report,27.01.17 08:17,27.01.17 09:15,Employee,YO3805,12.01.17,13.01.17,1461,
284,decide on travel expense approval,27.01.17 13:02,27.01.17 13:05,Manager,YS1169,12.01.17,13.01.17,1461,
285,send request for travel expense correction,27.01.17 13:05,27.01.17 13:06,,,12.01.17,13.01.17,1461,
286,correct travel expense report,30.01.17 09:10,30.01.17 09:55,Employee,YO3805,12.01.17,13.01.17,1461,
287,decide on travel expense approval,30.01.17 13:10,30.01.17 13:13,Manager,YS1169,12.01.17,13.01.17,1461,
288,send original documents to archive,02.02.17 09:28,02.02.17 10:27,Employee,YO3805,12.01.17,13.01.17,1461,
289,calculate payments,21.03.17 07:59,21.03.17 08:21,Accounting,VA7847,12.01.17,13.01.17,1461,
290,pay expenses,31.03.17 08:08,31.03.17 09:12,Accounting,VA7847,12.01.17,13.01.17,1461,
291,file travel request,01.02.17 05:59,01.02.17 06:14,Employee,ON7890,06.01.17,07.01.17,1462,
292,check if travel request needs preliminary price inquiry,01.02.17 06:14,01.02.17 06:16,,,06.01.17,07.01.17,1462,
293,decide on approval requirements,01.02.17 06:16,01.02.17 06:17,,,06.01.17,07.01.17,1462,
294,check if booking is necessary,01.04.17 08:09,01.04.17 08:15,Travel Department,AW2532,06.01.17,07.01.17,1462,
295,check if expense documents exist,16.01.17 05:59,16.01.17 06:23,Employee,ON7890,06.01.17,07.01.17,1462,
296,file travel expense report,16.01.17 06:23,16.01.17 06:40,Employee,ON7890,06.01.17,07.01.17,1462,
297,confirm travel expense report,16.01.17 06:40,16.01.17 06:44,Employee,ON7890,06.01.17,07.01.17,1462,
298,decide on travel expense approval,16.01.17 13:02,16.01.17 13:04,Manager,MV9004,06.01.17,07.01.17,1462,
299,send original documents to archive,02.01.17 12:06,02.01.17 13:02,Employee,ON7890,06.01.17,07.01.17,1462,
300,calculate payments,13.02.17 08:12,13.02.17 08:52,Accounting,JH2172,06.01.17,07.01.17,1462,
301,pay expenses,28.02.17 13:38,28.02.17 13:46,Accounting,JH2172,06.01.17,07.01.17,1462,
302,file travel request,01.02.17 05:59,01.02.17 06:07,Employee,LW4128,10.05.17,12.05.17,1464,
303,check if travel request needs preliminary price inquiry,01.02.17 06:07,01.02.17 06:08,,,10.05.17,12.05.17,1464,
304,prepare booking proposal,01.03.17 15:54,01.03.17 16:35,Travel Department,KS9688,10.05.17,12.05.17,1464,
305,send booking proposal to employee,01.05.17 15:22,01.05.17 15:24,Travel Department,KS9688,10.05.17,12.05.17,1464,
306,check booking proposal,01.05.17 16:53,01.05.17 16:58,Employee,LW4128,10.05.17,12.05.17,1464,
307,check if price inquiry is still needed and up to date,13.01.17 18:18,13.01.17 18:33,Employee,LW4128,10.05.17,12.05.17,1464,
308,request update of the booking proposal,13.01.17 18:33,13.01.17 18:33,Employee,LW4128,10.05.17,12.05.17,1464,
309,prepare booking proposal,18.01.17 10:33,18.01.17 12:07,Travel Department,KS9688,10.05.17,12.05.17,1464,
310,send booking proposal to employee,20.01.17 15:38,20.01.17 15:41,Travel Department,KS9688,10.05.17,12.05.17,1464,
311,check booking proposal,20.01.17 17:24,20.01.17 17:33,Employee,LW4128,10.05.17,12.05.17,1464,
312,transform price inquiry to travel request,20.01.17 17:41,20.01.17 17:41,Employee,LW4128,10.05.17,12.05.17,1464,
313,decide on approval requirements,20.01.17 17:41,20.01.17 17:43,,,10.05.17,12.05.17,1464,
314,check if booking is necessary,26.01.17 08:30,26.01.17 08:32,Travel Department,KS9688,10.05.17,12.05.17,1464,
315,prepare booking proposal,30.01.17 12:02,30.01.17 13:07,Travel Department,KS9688,10.05.17,12.05.17,1464,
316,send booking proposal to employee,02.03.17 08:07,02.03.17 08:10,Travel Department,KS9688,10.05.17,12.05.17,1464,
317,check booking proposal,02.03.17 10:54,02.03.17 10:56,Employee,LW4128,10.05.17,12.05.17,1464,
318,check if travel request is still needed and up to date,02.07.17 09:20,02.07.17 09:50,Employee,LW4128,10.05.17,12.05.17,1464,
319,request update of the booking proposal,02.07.17 09:50,02.07.17 09:50,Employee,LW4128,10.05.17,12.05.17,1464,
320,prepare booking proposal,02.10.17 14:31,02.10.17 15:08,Travel Department,KS9688,10.05.17,12.05.17,1464,
321,send booking proposal to employee,15.02.17 14:03,15.02.17 14:07,Travel Department,KS9688,10.05.17,12.05.17,1464,
322,check booking proposal,15.02.17 18:46,15.02.17 18:47,Employee,LW4128,10.05.17,12.05.17,1464,
323,book travel,20.02.17 15:32,20.02.17 16:55,Travel Department,KS9688,10.05.17,12.05.17,1464,
324,check if expense documents exist,23.05.17 18:04,23.05.17 18:25,Employee,LW4128,10.05.17,12.05.17,1464,
325,upload travel expense documents,23.05.17 18:25,23.05.17 18:31,Employee,LW4128,10.05.17,12.05.17,1464,
326,file travel expense report,23.05.17 18:31,23.05.17 18:48,Employee,LW4128,10.05.17,12.05.17,1464,
327,confirm travel expense report,23.05.17 18:48,23.05.17 18:50,Employee,LW4128,10.05.17,12.05.17,1464,
328,decide on travel expense approval,24.05.17 13:59,24.05.17 14:05,Manager,TD8091,10.05.17,12.05.17,1464,
329,send original documents to archive,06.01.17 06:59,06.01.17 07:13,Employee,LW4128,10.05.17,12.05.17,1464,
330,calculate payments,06.08.17 09:11,06.08.17 09:41,Accounting,JH2172,10.05.17,12.05.17,1464,
331,pay expenses,20.06.17 13:39,20.06.17 13:50,Accounting,JH2172,10.05.17,12.05.17,1464,
332,file travel request,01.02.17 05:59,01.02.17 06:05,Employee,EJ489,12.04.17,16.04.17,1465,
333,check if travel request needs preliminary price inquiry,01.02.17 06:05,01.02.17 06:07,,,12.04.17,16.04.17,1465,
334,decide on approval requirements,01.02.17 06:07,01.02.17 06:08,,,12.04.17,16.04.17,1465,
335,check if booking is necessary,01.04.17 07:59,01.04.17 08:02,Travel Department,AW2532,12.04.17,16.04.17,1465,
336,prepare booking proposal,01.06.17 08:54,01.06.17 10:01,Travel Department,AW2532,12.04.17,16.04.17,1465,
337,send booking proposal to employee,01.10.17 11:58,01.10.17 12:01,Travel Department,AW2532,12.04.17,16.04.17,1465,
338,check booking proposal,01.10.17 14:21,01.10.17 14:22,Employee,EJ489,12.04.17,16.04.17,1465,
339,check if travel request is still needed and up to date,23.01.17 05:59,23.01.17 06:41,Employee,EJ489,12.04.17,16.04.17,1465,
340,request update of the booking proposal,23.01.17 06:41,23.01.17 06:41,Employee,EJ489,12.04.17,16.04.17,1465,
341,prepare booking proposal,26.01.17 15:11,26.01.17 17:14,Travel Department,AW2532,12.04.17,16.04.17,1465,
342,send booking proposal to employee,31.01.17 13:20,31.01.17 13:22,Travel Department,AW2532,12.04.17,16.04.17,1465,
343,check booking proposal,31.01.17 16:36,31.01.17 16:43,Employee,EJ489,12.04.17,16.04.17,1465,
344,check if travel request is still needed and up to date,02.03.17 05:59,02.03.17 06:12,Employee,EJ489,12.04.17,16.04.17,1465,
345,request update of the booking proposal,02.03.17 06:12,02.03.17 06:12,Employee,EJ489,12.04.17,16.04.17,1465,
346,prepare booking proposal,02.07.17 11:27,02.07.17 13:37,Travel Department,AW2532,12.04.17,16.04.17,1465,
347,send booking proposal to employee,13.02.17 09:29,13.02.17 09:30,Travel Department,AW2532,12.04.17,16.04.17,1465,
348,check booking proposal,13.02.17 12:19,13.02.17 12:23,Employee,EJ489,12.04.17,16.04.17,1465,
349,book travel,16.02.17 15:00,16.02.17 17:02,Travel Department,AW2532,12.04.17,16.04.17,1465,
350,check if expense documents exist,17.04.17 06:59,17.04.17 07:07,Employee,EJ489,12.04.17,16.04.17,1465,
351,file travel expense report,17.04.17 07:07,17.04.17 07:11,Employee,EJ489,12.04.17,16.04.17,1465,
352,confirm travel expense report,17.04.17 07:11,17.04.17 07:12,Employee,EJ489,12.04.17,16.04.17,1465,
353,decide on travel expense approval,17.04.17 13:59,17.04.17 14:01,Manager,IC4569,12.04.17,16.04.17,1465,
354,send original documents to archive,27.04.17 15:10,27.04.17 15:25,Employee,EJ489,12.04.17,16.04.17,1465,
355,calculate payments,19.05.17 16:29,19.05.17 16:54,Accounting,VA7847,12.04.17,16.04.17,1465,
356,pay expenses,06.02.17 10:40,06.02.17 10:48,Accounting,VA7847,12.04.17,16.04.17,1465,
357,file travel request,01.02.17 05:59,01.02.17 06:11,Employee,VW2994,28.02.17,01.03.17,1466,
358,check if travel request needs preliminary price inquiry,01.02.17 06:11,01.02.17 06:12,,,28.02.17,01.03.17,1466,
359,decide on approval requirements,01.02.17 06:12,01.02.17 06:13,,,28.02.17,01.03.17,1466,
360,check if booking is necessary,01.04.17 08:01,01.04.17 08:02,Travel Department,KS9688,28.02.17,01.03.17,1466,
361,check if expense documents exist,03.09.17 05:59,03.09.17 06:21,Employee,VW2994,28.02.17,01.03.17,1466,
362,upload travel expense documents,03.09.17 06:21,03.09.17 06:40,Employee,VW2994,28.02.17,01.03.17,1466,
363,file travel expense report,03.09.17 06:40,03.09.17 06:51,Employee,VW2994,28.02.17,01.03.17,1466,
364,confirm travel expense report,03.09.17 06:51,03.09.17 06:52,Employee,VW2994,28.02.17,01.03.17,1466,
365,decide on travel expense approval,03.09.17 13:01,03.09.17 13:04,Manager,MU7591,28.02.17,01.03.17,1466,
366,send original documents to archive,23.03.17 05:59,23.03.17 06:34,Employee,VW2994,28.02.17,01.03.17,1466,
367,calculate payments,24.03.17 07:59,24.03.17 08:57,Accounting,WE5108,28.02.17,01.03.17,1466,
368,pay expenses,14.04.17 07:59,14.04.17 09:09,Accounting,WE5108,28.02.17,01.03.17,1466,
369,file travel request,01.02.17 05:59,01.02.17 06:18,Employee,OX4346,19.04.17,22.04.17,1467,
370,check if travel request needs preliminary price inquiry,01.02.17 06:18,01.02.17 06:19,,,19.04.17,22.04.17,1467,
371,decide on approval requirements,01.02.17 06:19,01.02.17 06:19,,,19.04.17,22.04.17,1467,
372,check if booking is necessary,01.04.17 08:37,01.04.17 08:48,Travel Department,WG5857,19.04.17,22.04.17,1467,
373,prepare booking proposal,01.06.17 10:34,01.06.17 11:19,Travel Department,WG5857,19.04.17,22.04.17,1467,
374,send booking proposal to employee,01.10.17 12:12,01.10.17 12:14,Travel Department,WG5857,19.04.17,22.04.17,1467,
375,check booking proposal,01.10.17 13:50,01.10.17 13:55,Employee,OX4346,19.04.17,22.04.17,1467,
376,book travel,13.01.17 07:59,13.01.17 10:58,Travel Department,WG5857,19.04.17,22.04.17,1467,
377,check if expense documents exist,27.04.17 19:40,27.04.17 20:46,Employee,OX4346,19.04.17,22.04.17,1467,
378,file travel expense report,27.04.17 20:46,27.04.17 21:07,Employee,OX4346,19.04.17,22.04.17,1467,
379,confirm travel expense report,27.04.17 21:07,27.04.17 21:10,Employee,OX4346,19.04.17,22.04.17,1467,
380,decide on travel expense approval,28.04.17 13:59,28.04.17 14:04,Manager,HK6824,19.04.17,22.04.17,1467,
381,send original documents to archive,05.11.17 06:59,05.11.17 07:21,Employee,OX4346,19.04.17,22.04.17,1467,
382,calculate payments,25.05.17 08:59,25.05.17 09:40,Accounting,GU1789,19.04.17,22.04.17,1467,
383,pay expenses,29.05.17 10:39,29.05.17 10:45,Accounting,GU1789,19.04.17,22.04.17,1467,
384,file travel request,01.02.17 05:59,01.02.17 06:23,Employee,XX8978,18.02.17,20.02.17,1468,
385,check if travel request needs preliminary price inquiry,01.02.17 06:23,01.02.17 06:24,,,18.02.17,20.02.17,1468,
386,prepare booking proposal,01.04.17 09:19,01.04.17 10:09,Travel Department,AW2532,18.02.17,20.02.17,1468,
387,send booking proposal to employee,01.06.17 11:11,01.06.17 11:13,Travel Department,AW2532,18.02.17,20.02.17,1468,
388,check booking proposal,01.06.17 13:54,01.06.17 13:55,Employee,XX8978,18.02.17,20.02.17,1468,
389,transform price inquiry to travel request,01.06.17 14:00,01.06.17 14:01,Employee,XX8978,18.02.17,20.02.17,1468,
390,decide on approval requirements,01.06.17 14:01,01.06.17 14:01,,,18.02.17,20.02.17,1468,
391,check if booking is necessary,01.10.17 13:58,01.10.17 14:01,Travel Department,AW2532,18.02.17,20.02.17,1468,
392,prepare booking proposal,13.01.17 08:01,13.01.17 09:43,Travel Department,AW2532,18.02.17,20.02.17,1468,
393,send booking proposal to employee,17.01.17 15:43,17.01.17 15:47,Travel Department,AW2532,18.02.17,20.02.17,1468,
394,check booking proposal,17.01.17 21:30,17.01.17 21:33,Employee,XX8978,18.02.17,20.02.17,1468,
395,book travel,20.01.17 12:24,20.01.17 13:29,Travel Department,AW2532,18.02.17,20.02.17,1468,
396,check if expense documents exist,22.02.17 18:12,22.02.17 18:37,Employee,XX8978,18.02.17,20.02.17,1468,
397,upload travel expense documents,22.02.17 18:37,22.02.17 18:44,Employee,XX8978,18.02.17,20.02.17,1468,
398,file travel expense report,22.02.17 18:44,22.02.17 18:56,Employee,XX8978,18.02.17,20.02.17,1468,
399,confirm travel expense report,22.02.17 18:56,22.02.17 18:58,Employee,XX8978,18.02.17,20.02.17,1468,
400,decide on travel expense approval,23.02.17 12:59,23.02.17 13:04,Manager,LV1269,18.02.17,20.02.17,1468,
401,send original documents to archive,13.03.17 06:55,13.03.17 07:11,Employee,XX8978,18.02.17,20.02.17,1468,
402,calculate payments,16.03.17 08:06,16.03.17 08:54,Accounting,WO40,18.02.17,20.02.17,1468,
403,pay expenses,27.03.17 08:54,27.03.17 10:02,Accounting,WO40,18.02.17,20.02.17,1468,
404,file travel request,01.02.17 05:59,01.02.17 06:15,Employee,GV7676,09.04.17,23.04.17,1469,
405,check if travel request needs preliminary price inquiry,01.02.17 06:15,01.02.17 06:16,,,09.04.17,23.04.17,1469,
406,decide on approval requirements,01.02.17 06:16,01.02.17 06:16,,,09.04.17,23.04.17,1469,
407,forward request to approver,01.02.17 06:16,01.02.17 06:17,,,09.04.17,23.04.17,1469,
408,decide on request,01.02.17 13:00,01.02.17 13:04,Manager,TD8091,09.04.17,23.04.17,1469,
409,check if booking is necessary,01.04.17 13:28,01.04.17 13:29,Travel Department,JV9257,09.04.17,23.04.17,1469,
410,prepare booking proposal,01.06.17 12:53,01.06.17 14:49,Travel Department,JV9257,09.04.17,23.04.17,1469,
411,send booking proposal to employee,01.10.17 14:10,01.10.17 14:12,Travel Department,JV9257,09.04.17,23.04.17,1469,
412,check booking proposal,01.10.17 17:34,01.10.17 17:34,Employee,GV7676,09.04.17,23.04.17,1469,
413,check if travel request is still needed and up to date,16.01.17 05:59,16.01.17 06:46,Employee,GV7676,09.04.17,23.04.17,1469,
414,request update of the booking proposal,16.01.17 06:46,16.01.17 06:46,Employee,GV7676,09.04.17,23.04.17,1469,
415,prepare booking proposal,18.01.17 14:30,18.01.17 15:49,Travel Department,JV9257,09.04.17,23.04.17,1469,
416,send booking proposal to employee,23.01.17 13:14,23.01.17 13:16,Travel Department,JV9257,09.04.17,23.04.17,1469,
417,check booking proposal,23.01.17 14:56,23.01.17 14:59,Employee,GV7676,09.04.17,23.04.17,1469,
418,book travel,26.01.17 15:58,26.01.17 18:22,Travel Department,JV9257,09.04.17,23.04.17,1469,
419,check if expense documents exist,24.04.17 15:22,24.04.17 15:34,Employee,GV7676,09.04.17,23.04.17,1469,
420,file travel expense report,24.04.17 15:34,24.04.17 15:48,Employee,GV7676,09.04.17,23.04.17,1469,
421,confirm travel expense report,24.04.17 15:48,24.04.17 15:52,Employee,GV7676,09.04.17,23.04.17,1469,
422,decide on travel expense approval,25.04.17 13:59,25.04.17 14:06,Manager,JH852,09.04.17,23.04.17,1469,
423,send original documents to archive,28.04.17 06:59,28.04.17 07:53,Employee,GV7676,09.04.17,23.04.17,1469,
424,calculate payments,05.10.17 08:59,05.10.17 09:21,Accounting,GR7476,09.04.17,23.04.17,1469,
425,pay expenses,19.05.17 14:36,19.05.17 14:47,Accounting,GR7476,09.04.17,23.04.17,1469,
426,file travel request,01.02.17 05:59,01.02.17 06:29,Employee,MJ2847,15.03.17,30.03.17,1470,
427,check if travel request needs preliminary price inquiry,01.02.17 06:29,01.02.17 06:31,,,15.03.17,30.03.17,1470,
428,prepare booking proposal,01.04.17 09:35,01.04.17 10:27,Travel Department,AW2532,15.03.17,30.03.17,1470,
429,send booking proposal to employee,01.06.17 11:13,01.06.17 11:16,Travel Department,AW2532,15.03.17,30.03.17,1470,
430,check booking proposal,01.06.17 14:38,01.06.17 14:40,Employee,MJ2847,15.03.17,30.03.17,1470,
431,check if price inquiry is still needed and up to date,16.01.17 05:59,16.01.17 06:18,Employee,MJ2847,15.03.17,30.03.17,1470,
432,request update of the booking proposal,16.01.17 06:18,16.01.17 06:18,Employee,MJ2847,15.03.17,30.03.17,1470,
